"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"917",2,0,14,2,2,1,0,25,1,47,0,1,14,20,0,2,6,1,0,41,91,0,6,19,67,3,1,7,0,2,12,3,38,26,0,15,2,41,23,6,14,42,173,0,1,5,22,1,1,19,3,3,4,43,1,19,4,4,1,5,0,28,23,4,7,24,0,2,4,1,2,8,2,13,7,5,4,4,6,40,34,13,2,0,4,20,17,6,60,37,5,8,31,1,2,8,0,0,1,0
"918",5,0,11,1,2,1,3,23,4,36,1,0,19,16,0,2,9,9,2,44,49,0,3,14,73,4,2,24,0,1,16,3,30,38,4,14,1,23,15,3,5,52,299,0,1,12,14,0,8,23,5,2,5,43,1,14,3,8,0,12,0,32,22,2,7,28,0,6,3,2,1,10,3,26,9,3,2,4,2,38,41,11,4,0,3,14,14,9,54,35,5,7,34,0,0,3,0,4,2,1
"919",6,0,16,2,2,0,1,22,3,55,2,1,20,18,0,0,4,17,2,47,23,0,6,26,64,1,2,3,0,0,8,2,29,34,0,16,0,41,14,4,29,61,321,1,0,7,11,0,5,26,1,1,16,31,1,14,10,3,0,16,0,32,44,7,7,20,0,5,1,3,0,16,2,19,6,1,5,2,7,39,19,15,10,2,3,28,14,9,72,30,3,3,26,0,4,6,0,5,1,2
"920",5,1,12,1,1,0,0,24,7,60,1,1,10,15,0,0,6,24,0,48,10,1,6,17,57,1,3,3,0,1,8,3,30,30,0,22,0,29,15,7,17,55,273,5,1,7,6,1,5,22,2,1,9,37,2,22,6,12,0,12,0,35,50,0,5,33,0,3,0,2,1,12,4,25,3,1,6,3,7,43,23,14,5,0,3,20,20,8,112,35,4,6,16,1,1,1,0,1,3,2
"921",5,0,14,1,3,0,5,30,17,70,1,0,18,15,0,4,10,26,1,34,53,0,8,26,86,5,3,7,0,1,9,1,27,35,1,10,1,28,19,2,5,54,300,2,1,8,11,0,5,24,3,1,6,53,1,17,7,6,0,7,0,41,30,7,2,33,0,1,1,2,1,5,6,22,1,0,11,3,9,31,30,9,7,0,1,24,10,9,201,29,2,1,31,0,1,1,1,2,1,2
"922",9,1,15,1,3,0,2,18,9,58,2,0,20,15,0,5,1,30,2,40,48,0,8,13,55,5,9,11,0,1,10,8,21,30,0,10,5,37,21,4,6,45,257,0,0,10,18,0,1,18,3,1,10,48,1,23,5,25,1,13,0,29,27,2,7,40,0,3,8,0,1,7,2,24,1,1,1,2,11,38,30,13,6,1,7,14,6,6,192,38,3,12,67,0,0,5,0,4,0,0
"923",10,0,14,1,3,0,3,19,9,65,1,0,25,14,9,1,9,32,4,38,46,0,7,15,69,2,3,14,0,3,13,4,30,17,2,13,3,34,18,7,0,52,295,1,1,10,10,0,4,27,3,3,16,32,2,21,5,34,4,9,0,26,11,1,4,25,0,4,14,0,0,4,6,22,5,0,3,5,12,36,24,12,10,0,4,21,12,9,126,32,2,8,32,0,2,4,0,3,2,2
"924",5,0,9,1,2,0,0,17,7,71,1,2,20,26,26,3,8,16,4,27,57,2,8,17,61,2,4,15,2,2,10,5,30,27,4,20,0,38,21,8,1,49,348,0,1,4,9,0,3,18,2,1,6,31,1,20,3,35,1,5,0,31,23,1,6,35,0,3,9,2,1,6,1,28,5,0,4,3,6,29,38,16,5,1,0,22,16,6,86,31,6,5,31,1,2,12,0,0,1,3
"925",8,2,11,4,4,0,0,19,4,62,1,0,29,12,21,1,10,7,3,42,188,2,6,14,63,5,5,8,0,3,7,1,37,20,0,15,1,39,20,6,0,41,306,3,0,7,15,1,1,25,2,1,2,41,5,26,1,31,0,8,0,22,20,1,4,23,0,5,11,1,6,15,9,21,2,2,6,5,7,30,41,25,6,0,6,26,13,8,109,46,6,7,20,0,0,2,0,2,3,0
"926",7,0,15,0,3,1,0,16,12,51,0,0,25,13,21,3,8,6,2,46,87,2,5,29,64,8,7,9,3,1,10,1,37,22,0,12,2,31,19,7,8,48,408,6,0,3,16,0,3,26,0,2,7,35,0,18,6,29,0,8,0,29,60,3,7,29,0,4,13,1,3,7,5,26,7,1,9,0,2,33,35,16,4,0,2,25,12,14,62,30,2,8,37,0,0,6,0,1,0,2
